Scenarios;N0c;pc;W0c;Y0c;Z0c;N0h;ph;W0h;Y0h;Z0h;betacc;betahh;betahc;omegac;omegah;sigmac;sigmah;gammac;gammah;muh
1;1800000;0;0;8000;0;34566328;0;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
2;1800000;0;0;0;0;34566328;0;0;1400000;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
3;1800000;0.5122;0;8000;0;34566328;0;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
4;1800000;0;0;8000;0;34566328;0.6383;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
5;1800000;0.5122;0;8000;0;34566328;0.6383;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
6;1800000;0.5122;0;8000;0;34566328;0;0;0;0;0.164;0.0864;0.1252;0.00385;0;0.1429;0.1429;0.08;0.07;0.0019
7;1800000;0;0;8000;0;34566328;0.6383;0;0;0;0.164;0.0864;0.1252;0;0.00385;0.1429;0.1429;0.08;0.07;0.0019
8;1800000;0.5122;0;8000;0;34566328;0.6383;0;0;0;0.164;0.0864;0.1252;0.00385;0.00385;0.1429;0.1429;0.08;0.07;0.0019
9;1800000;0.98;0;8000;0;34566328;0;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
10;1800000;0.98;0;8000;0;34566328;0.30;0;0;0;0.164;0.0864;0.1252;0;0;0.1429;0.1429;0.08;0.07;0.0019
